trdar_cd_nm,title,description,originallink,link,pubDate
이북5도청사,'정부세종 4청사' 건립 시기... '상권 공실' 맞물려 주목,"가칭 '정부세종 4청사' 건립 시기가 지역 상권 공실과 맞물려 주목되고 있다. 정부부처·위원회의 세종시... (12명), 이북5도위원회(62명), 사행산업통합감독위(48명), 국사편찬위(120명) ▲대통령 소속 자문위 4곳...",http://www.dtnews24.com/news/articleView.html?idxno=740995,http://www.dtnews24.com/news/articleView.html?idxno=740995,"Thu, 23 Feb 2023 14:24:00 +0900"
이북5도청사,"홍순식 세종시장 예비후보, 공약 2호 '세종 인구 5만명 순증 프로젝트'...","또한 홍순식 예비후보는 ""부처 소속 행정위원회인 이북5도위원회(행정안전부)·사행산업통합감독위원회... 홍순식 예비후보는 ""제3연구청사 건립 이전까지는 세종의 상가 공실을 임시 공간으로 활용할 수 있다""고 전했다....",http://www.newstnt.com/news/articleView.html?idxno=593613,http://www.newstnt.com/news/articleView.html?idxno=593613,"Mon, 09 Mar 2026 16:02:00 +0900"
이북5도청사,"홍순식,“세종 인구 5만명 더 늘리겠다…텅텅빈 세종, 꽉 채울 것”","또한 부처 소속 행정위원회인 이북5도위원회(행정안전부), 사행산업통합감독위원회(국무총리)... 홍 예비후보는 “제3연구청사 건립 이전까지는 세종의 상가 공실을 임시 공간으로 활용할 수 있다”고 밝혔다. 네 번째, 홍...",https://www.viva100.com/article/20260309500102,https://www.viva100.com/article/20260309500102,"Mon, 09 Mar 2026 08:58:00 +0900"
이북5도청사,대통령·총리 직속위원회의 '세종시 이전' 언제 정상화?,"문재인·윤석열 전 정부부터 정부세종청사와 긴밀한 연관성을 감안, 이전 필요성이 제기됐으나... 이와 함께 행정안전부 소속 이북5도위원회(62명)와 부마민주항쟁진상규명 등의 위원회(12명), 교육부 산하...",https://www.joongdo.co.kr/web/view.php?key=20250909010003296,https://www.joongdo.co.kr/web/view.php?key=20250909010003296,"Tue, 09 Sep 2025 10:04:00 +0900"
이북5도청사,"[대구시 소식] 홍준표 대구광역시장, 스샤오린 청두시 당 서기와 만찬 ...","경북대 북문 골목·불로화훼단지, 지역 특화거리로 발돋움한다 대구광역시, 골목상권 활력 지원 사업 최종... 제18회 영‧호남 이북도민 친선교류대회 개최 이북5도위원회 대구사무소(소장 김의철)는 4월 27일 달성군청...",http://www.ilyoseoul.co.kr/news/articleView.html?idxno=487326,http://www.ilyoseoul.co.kr/news/articleView.html?idxno=487326,"Mon, 29 Apr 2024 14:42:00 +0900"
이북5도청사,"공공기관 '세종시 이전' 부진...윤 정부, 수도권 과밀 해소 의지 퇴색","독립 청사 건립이란 숙원을 해결한 의미는 있으나 주택 특별공급 혜택 등 단물만 빼먹고 먹튀 이전이란... 위원회부터 이북5도위원회(62명)와 부마민주항쟁진상규명 관련 위원회(12명) 등 행정안전부 소속, 교육부 소관...",https://www.joongdo.co.kr/web/view.php?key=20240903010000812,https://www.joongdo.co.kr/web/view.php?key=20240903010000812,"Tue, 03 Sep 2024 10:42:00 +0900"
이북5도청사,"[8일 조달청 입찰정보/종합] 재공고,총액)KTX차량안내방송장치 비디오서...","북부청사.(남양주 왕숙천 고향의 강 정비사업 관급자재(어도블록) 수의계약). ▲ 입찰명... ▲ 입찰명 : ""2020년 이북5도위원회 전산장비 위탁용역"", 계약방법 : 제한경쟁. 공고기관 : 행정안전부 이북5도...",http://www.fintechpost.co.kr/news/articleView.html?idxno=107927,http://www.fintechpost.co.kr/news/articleView.html?idxno=107927,"Wed, 08 Apr 2020 21:01:00 +0900"
이북5도청사,[D-2] 울산지역 민주당 후보들 핵심 공약은?,"울산복무관리센터, 이북 5도 울산사무소 등을 유치하겠다고 약속했다. 또 성안동 그린벨트를 해제해... 10여 개의 공공기관과 정부기관, 지방종합청사에 소속된 5000여 명의 직원이 옥동혁신도시에 상주하게 되면 약...",https://www.news1.kr/articles/?3905515,https://n.news.naver.com/mnews/article/421/0004583231?sid=100,"Mon, 13 Apr 2020 14:31:00 +0900"
이북5도청사,"임동호 중구 후보 ""중구 혁신도시의 신성장동력 마련하겠다""","울산복무관리센터, 이북5도 울산사무소 6개 기관을 혁신도시에 건립토록 추진하겠다""고 밝혔다. 또... 구도심과 혁신도시의 연결 도로망을 다각화하고 정부합동청사 건립을 통한 상권 활성화를 추진해야 한다""고 덧붙였다.",http://www.iusm.co.kr/news/articleView.html?idxno=873180,http://www.iusm.co.kr/news/articleView.html?idxno=873180,"Thu, 26 Mar 2020 22:36:00 +0900"
이북5도청사,오늘의 일정(9월26일ㆍ수요일),신청사 8층 다목적홀) 14:30 골목상권 지킴이 힐링방문 (강북구 미아동 '만만한 카페') 통합진보당 13:30... 11:00 이북5도민회 추석 망향대제(수봉공원망배단) 13:30 제93회 전국체육대회 참가선수단 결단식...,,https://n.news.naver.com/mnews/article/001/0005837895?sid=102,"Wed, 26 Sep 2012 06:54:00 +0900"
독립문역 1번,집객력 높은 대로변 스트리트형 상가로 투자자 몰린다,독립문역이 상가 바로 앞에 위치한 초역세권 입지를 갖춘 것도 강점이다. 특히 상가 바로 앞의 3번과 3-1번... 이에 따라 기존 상권 이용고객 등을 포함한 배후수요를 확보함은 물론 노후화된 독립문역 상권 내 새로운...,http://news.heraldcorp.com/view.php?ud=20190108000272,https://n.news.naver.com/mnews/article/016/0001484619?sid=101,"Tue, 08 Jan 2019 10:43:00 +0900"
독립문역 1번,아파트 흥행 이어간다…단지 내 상가 잇따라 완판 행진,독립문역이 상가 바로 앞에 위치한 초역세권 입지를 갖춘 것도 강점이다. 특히 상가 바로 앞의 3번과 3-1번... 이에 따라 기존 상권 이용고객 등을 포함한 배후수요를 확보함은 물론 노후화된 독립문역 상권 내 새로운...,http://www.fnnews.com/news/201901041049181043,https://n.news.naver.com/mnews/article/014/0004154738?sid=101,"Fri, 04 Jan 2019 10:53:00 +0900"
독립문역 1번,주택서 상가로 발길 돌리는 투자자들…상업 · 업무용 부동산 거래량 급...,독립문역이 상가 바로 앞에 위치한 초역세권 입지를 갖춘 것도 강점이다. 특히 상가 바로 앞의 3번과 3-1번... 이에 따라 기존 상권 이용고객 등을 포함한 배후수요를 확보함은 물론 노후화된 독립문역 상권 내 새로운...,https://www.nbntv.kr/news/articleView.html?idxno=84159,https://www.nbntv.kr/news/articleView.html?idxno=84159,"Wed, 09 Jan 2019 10:03:00 +0900"
독립문역 1번,역세권도 잘 따져야···초역세권 상가의 남다른 프리미엄,이 상가는 상가 바로 앞에 위치한 지하철 3호선 독립문역 3번과 3-1번 출구가 상가의 보행자 출입구와 바로... 이에 따라 기존 상권 이용고객 등을 포함한 배후수요를 확보함은 물론 노후화된 독립문역 상권 내 새로운...,http://www.sedaily.com/NewsView/1VDY1EA1JT,https://n.news.naver.com/mnews/article/011/0003480347?sid=101,"Mon, 07 Jan 2019 11:00:00 +0900"
독립문역 1번,"(우리동네 ‘핫’공약-④서대문구)""유동 대학생만 7만명…교육·문화 특...","바른미래당 이은석 후보는 5대 공약에 독립문역사문화공원을 세계적 국악타운과 교육원을 만들겠다고... 지역상권 활성화 차원에선 인왕·홍제·모래내·서중시장 재개발, 영천시장과 역사문화공원 연계 등을 구상하고...",http://www.newstomato.com/ReadNews.aspx?no=827124,http://www.newstomato.com/ReadNews.aspx?no=827124,"Thu, 31 May 2018 06:02:00 +0900"
